Type,Rule_ID,Rule_Name,Denial_Code,Description,CPT_HCPCS_Codes,Modifiers,Other_Codes_ICD,Denial_Conditions,Detection_Logic,Risk_Level,Example_Claim
RULE,DT-001,Duplicate Presumptive Drug Test,DT-PRES-DUP,Multiple presumptive drug tests billed on same date of service. Only one presumptive drug test is reimbursable per day regardless of methodology or provider.,"80305, 80306, 80307, H0003",None override - modifier will NOT allow separate reimbursement,N/A,"SAME_DAY, SAME_PATIENT, ANY_PROVIDER, ANY_TIN",Count all presumptive codes for same patient same DOS across ALL providers. If count > 1 deny subsequent claims.,N/A,"CLM-001: 80305 PAID, CLM-002: 80307 DENIED (same DOS)"
RULE,DT-002,Duplicate Definitive Drug Test,DT-DEF-DUP,Multiple definitive drug tests billed on same date of service. Only one definitive drug test is reimbursable per day regardless of drug classes or provider.,"G0480, G0481, G0482, G0483, G0659, 0007U, 0011U, 0082U, 0328U, 0517U-0520U, 0587U",None override,N/A,"SAME_DAY, SAME_PATIENT, ANY_PROVIDER, ANY_TIN",Count all definitive codes for same patient same DOS across ALL claims. If count > 1 deny subsequent claims.,N/A,"CLM-005: G0481 PAID, CLM-006: G0482 DENIED (same DOS)"
RULE,DT-003,Non-Reimbursable Definitive CPT Codes,DT-DEF-CPT,Definitive drug testing CPT codes 80320-80377 are non-reimbursable. Use HCPCS G0480-G0483 or G0659 instead.,80320-80377,None - categorically non-reimbursable,N/A,"CODE_IN_RANGE (80320-80377), ANY_DOS, ANY_PROVIDER",If claim contains any CPT code in range 80320-80377 auto-deny. These are never reimbursable per CMS guidance.,N/A,"CLM-009: 80320 DENIED, CLM-010: 80365 DENIED"
RULE,DT-004,Specimen Validity Test Bundled,DT-SVT-BUND,Specimen Validity Testing is included in drug testing codes. Not separately reimbursable when performed on same date as drug test.,"81000, 81001, 81002, 81003, 81005, 82542, 82570, 83516, 83518, 83519, 83520, 83789, 83986, 84156, 84311","Modifier 59/XE MAY allow if documentation proves distinctly separate service (e.g. UTI)","ICD-10 should support separate medical necessity (e.g. N39.0 for UTI vs F11.x for opioid disorder)","SAME_DAY, SAME_PATIENT, SVT_CODE + DRUG_TEST_CODE, NO_MODIFIER or MODIFIER_WITHOUT_DOCUMENTATION",If SVT code AND drug test code on same DOS deny SVT UNLESS modifier 59/XE present AND documentation supports separate service.,N/A,"CLM-011: 80306 PAID + 81001 DENIED; CLM-012: 80307 PAID + 81001+59 PAID (with docs)"
RULE,DT-005,Court-Ordered or Government-Funded Test,DT-COURT,Drug testing services that are court-ordered and/or funded by government agency are not reimbursable.,"80305, 80306, 80307, H0003, G0480-G0483, G0659, all PLA codes",N/A,Claim indicators for court-ordered; Payer source = government agency,"COURT_ORDERED = TRUE, OR PAYER_SOURCE = GOVERNMENT_AGENCY, OR ORDERING_ENTITY = COURT/PROBATION/PAROLE",If claim indicates court-ordered or payer source is government agency deny claim. Check remarks and ordering provider fields.,N/A,"CLM-013: 80305 Court-ordered DENIED; CLM-014: G0481 Probation requirement DENIED"
RULE,DT-006,Multiple Units on Per-Day Code,DT-UNITS,Drug testing codes describe a per-day service. Units > 1 should be reduced to 1.,"80305, 80306, 80307, H0003, G0480, G0481, G0482, G0483, G0659",None override - units reduced regardless,N/A,"UNITS > 1, CODE is per-day service",If units billed > 1 for any drug testing code reduce units to 1 and pay for 1 unit only.,N/A,"CLM-015: 80307 x5 units -> PARTIAL paid 1 unit; CLM-016: G0482 x3 -> PARTIAL paid 1 unit"
TACTIC,DT-FT001,Multiple Methodology Billing,N/A,Provider bills multiple presumptive tests using different methodology codes claiming they used different testing methods.,"80305 (optical), 80306 (instrument-assisted), 80307 (chemistry analyzer)",None or 59/XE inappropriately,N/A,N/A,Provider runs single specimen through multiple screening methodologies and bills each separately claiming each is different service.,HIGH,"CLM-F1: 80305+80306+80307 all same DOS for same specimen"
TACTIC,DT-FT002,G-Code + PLA Code Stacking,N/A,Provider bills both HCPCS G-codes and PLA codes for definitive testing on same day claiming they are different tests.,"G0480-G0483 + 0007U/0011U/0517U-0520U","59, XE",N/A,N/A,Bill standard definitive test AND proprietary lab test for same specimen claiming proprietary test provides additional information.,HIGH,"CLM-F2: G0481 + 0517U same DOS"
TACTIC,DT-FT003,Provider Splitting,N/A,Same entity uses multiple NPIs or refers specimen to different lab to bill tests multiple times.,Any drug testing codes under different NPIs/TINs,None needed - exploit relies on different provider identifiers,N/A,N/A,Lab A bills presumptive. Lab A sends specimen to affiliated Lab B which bills another test. Both labs under common ownership.,HIGH,"CLM-F3A: NPI-AAA 80307; CLM-F3B: NPI-BBB G0481 (same entity)"
TACTIC,DT-FT004,Specimen Validity Unbundling,N/A,Provider bills specimen validity tests as separate services alongside drug tests.,"81001 (UA), 82570 (creatinine), 83986 (pH), 84311","59, XE (falsely claiming tests are unrelated)","False ICD-10 codes (e.g. N39.0 UTI when no UTI symptoms)",N/A,Bill SVT with modifier 59 and unrelated diagnosis to bypass bundling edit even though tests are solely for validating specimen.,MEDIUM,"CLM-F4: 80306 + 81001+59 with false N39.0 diagnosis"
TACTIC,DT-FT005,Non-Reimbursable CPT Code Billing,N/A,Provider bills CPT codes 80320-80377 knowing they are non-reimbursable hoping for payment error or appeals.,80320-80377 (individual drug/metabolite codes),Various - attempting to bypass edits,N/A,N/A,Bill individual drug codes which provide higher itemized reimbursement vs single G-code relying on payer system gaps.,MEDIUM,"CLM-F5: 80320+80324+80331+80345+80359+80365 instead of G0481"
TACTIC,DT-FT006,Excessive Drug Class Upcoding,N/A,Provider bills higher-tier definitive test code when fewer drug classes were actually tested.,G0483 billed instead of G0480/G0481,None,N/A,N/A,Bill G0483 (22+ drug classes highest reimbursement) when actual panel only tested 8-10 classes. Documentation not verified.,HIGH,"CLM-F6: G0483 billed but only 9 classes tested (should be G0481)"
TACTIC,DT-FT007,Date of Service Manipulation,N/A,Provider bills same test on consecutive days by manipulating date of service to bypass same-day edit.,Any drug testing codes,None,N/A,N/A,Specimen collected once but billed on two consecutive dates to bypass same-day duplicate edit.,HIGH,"CLM-F7A: 80307 DOS 02/07; CLM-F7B: G0481 DOS 02/08 (same specimen)"
TACTIC,DT-FT008,Reflexive Testing Abuse,N/A,Provider bills both presumptive AND definitive tests routinely without medical necessity.,"80305/80306/80307 + G0480-G0483",None needed - both allowed same day (one each),N/A,N/A,Bill presumptive then automatically bill definitive for every patient regardless of clinical need when policy states presumptive not required.,MEDIUM,"Every patient every visit: 80307 + G0482 without clinical justification"
